Lake_Area_km2,Dam_Slope_deg,Lake_Temp_C,Elevation_m,Risk_Index
0.4932,12.85,3.15,5120.64,0.4413
1.2364,12.41,4.43,3930.97,0.6651
0.9543,32.19,4.18,5680.99,0.8088
0.7823,12.49,0.85,5032.79,0.44
0.2113,13.16,0.82,3893.01,0.2234
0.2112,27.78,1.47,5905.85,0.4528
0.0849,18.49,1.99,4795.91,0.3088
1.1274,28.3,2.25,3682.25,0.6786
0.7854,6.96,3.74,5067.08,0.5
0.9234,19.63,0.31,4133.0,0.489
0.0366,6.01,0.19,5509.23,0.1501
1.2612,6.88,2.16,5544.56,0.6074
1.0839,32.19,3.83,5947.37,0.8466
0.2839,9.18,1.06,4754.67,0.2548
0.2446,20.97,3.53,4637.39,0.4289
0.2466,17.33,1.43,5383.69,0.3518
0.4025,15.42,4.87,3831.18,0.4464
0.6869,32.0,4.93,4867.29,0.7196
0.5672,5.65,1.64,4865.62,0.3372
0.3857,24.91,1.26,3723.68,0.387
0.7993,33.9,2.26,4544.96,0.6605
0.1899,21.81,1.32,5633.21,0.3787
0.3869,33.1,3.7,5640.38,0.6229
0.4826,6.57,4.54,3748.09,0.3798
0.5983,17.56,3.7,3726.8,0.4782
1.0229,12.8,4.53,4156.74,0.6154
0.2676,26.92,2.18,5686.92,0.4798
0.6734,34.44,0.86,3822.26,0.5466
0.7742,12.7,4.06,5299.99,0.5667
0.0699,24.63,1.98,3752.91,0.3147
0.7937,10.94,3.69,5057.84,0.5345
0.23,21.96,1.49,4390.17,0.3488
0.0939,18.92,0.45,5472.28,0.2863
1.2341,34.16,5.46,4084.23,0.8944
1.2557,23.26,0.86,5098.0,0.6809
1.0528,15.49,5.44,4089.21,0.6781
0.403,8.42,5.38,5284.15,0.4632
0.136,9.54,4.37,5684.2,0.3699
0.8927,11.76,3.63,3817.0,0.5202
0.5778,12.53,3.18,5666.49,0.4875
0.1674,30.52,4.76,4983.94,0.5456
0.6488,21.84,1.59,3817.78,0.4574
0.0544,20.7,2.57,4568.85,0.3304
1.183,8.44,3.41,3902.15,0.5764
0.3438,30.8,2.26,5250.87,0.522
0.8647,26.68,2.35,5397.17,0.6561
0.4121,7.03,1.82,3764.49,0.2638
0.6809,26.24,3.1,4765.35,0.5978
0.7153,21.31,4.68,5536.56,0.6544
0.2485,7.45,1.11,5840.41,0.2743
1.2608,18.75,5.14,4783.79,0.7869
1.0099,19.54,3.79,5875.7,0.7111
1.222,9.97,4.53,4839.22,0.6798
1.1643,33.37,3.06,4485.48,0.795
0.7813,30.5,4.29,5620.51,0.7426
1.1992,25.07,0.09,4732.46,0.6364
0.1242,18.87,4.5,4679.76,0.4108
0.2628,17.35,0.22,4725.78,0.2866
0.0683,24.53,4.89,5616.96,0.4938
0.4297,21.36,5.46,5579.85,0.597
0.5114,6.87,1.62,4508.8,0.3155
0.36,20.38,1.16,4333.25,0.361
1.0791,29.19,4.21,4729.82,0.7845
0.4702,18.78,1.39,4931.93,0.4135
0.3724,6.56,4.76,4095.84,0.3677
0.7101,28.59,0.57,5484.89,0.5637
0.1918,11.04,0.69,4716.21,0.2274
1.0448,12.76,5.39,4335.11,0.6603
0.1062,9.94,3.71,3767.05,0.2635
1.2831,14.91,4.66,4097.11,0.7159
1.0062,27.7,1.78,5873.2,0.7067
0.2663,20.58,3.72,4262.75,0.4241
0.0171,11.15,3.27,3922.15,0.2366
1.0619,31.33,3.32,4651.68,0.7621
0.9218,31.39,3.75,4267.72,0.7198
0.9504,31.12,3.16,3587.9,0.6776
1.0049,12.16,2.36,4307.86,0.5316
0.1055,18.54,1.52,4860.27,0.3011
0.4724,34.55,4.23,4879.28,0.6505
0.1595,28.16,1.24,4391.4,0.3712
1.1234,5.82,3.81,4618.26,0.5788
0.8141,6.96,1.28,5913.79,0.4532
0.4369,18.92,3.44,4443.37,0.4594
0.092,32.28,4.11,4145.57,0.4803
0.4112,21.16,1.2,4108.67,0.3759
0.4295,19.93,0.33,4644.41,0.3608
0.9512,8.16,0.72,5398.8,0.4648
0.8324,24.7,3.33,4014.97,0.6095
1.1545,29.66,4.67,5273.24,0.8502
0.6192,16.41,0.25,3552.87,0.3424
0.1643,28.27,4.04,4547.33,0.4817
0.9301,33.93,1.88,5439.66,0.723
0.9914,11.11,2.63,4346.83,0.5298
0.734,20.7,5.11,4909.34,0.6455
1.0045,13.61,1.83,4012.45,0.5128
0.647,28.79,2.56,5354.99,0.6131
0.6843,22.33,0.08,3630.7,0.4101
0.5615,24.04,0.45,5631.36,0.4804
0.0428,28.94,1.42,3995.49,0.3327
0.1492,16.88,0.15,5686.0,0.2835
0.0505,32.45,3.47,4381.32,0.4551
0.831,20.99,2.35,5306.71,0.5933
0.4155,9.74,3.01,4298.06,0.3527
0.6661,25.88,0.96,5764.78,0.5523
1.1808,28.8,1.63,3816.59,0.6821
0.3316,14.5,3.65,3946.3,0.3769
0.5394,30.72,5.31,4732.58,0.6717
0.9847,32.18,0.28,3704.85,0.5972
0.3051,13.31,4.9,3989.95,0.4057
0.1093,34.51,3.17,5859.42,0.5391
0.3838,9.22,3.1,5941.22,0.4075
0.218,11.06,2.75,4440.65,0.2995
1.2093,10.53,0.38,5808.22,0.5685
1.0525,31.82,0.49,4862.06,0.6689
0.8271,24.63,3.31,4174.36,0.6129
1.1342,9.56,1.88,5256.0,0.5695
1.0467,18.21,5.04,5147.25,0.7273
0.2507,23.46,2.24,5972.81,0.4586
1.1614,7.5,0.79,4162.62,0.4769
0.7058,31.47,3.93,5180.15,0.697
1.0516,29.11,1.61,3630.06,0.6368
1.166,20.16,2.89,3784.12,0.648
